name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_gen,mhz
G.Skill Trident Z RGB 64 GB,149.99,"2,32",2.344,Black,10.0,18.0,4,3600
TEAMGROUP T-Force Vulcan Z 16 GB,38.99,"2,8",2.437,Gray,10.0,16.0,4,3200
Patriot Viper Venom 64 GB,159.99,"2,32",2.5,Black / White,12.0,36.0,5,6000
Corsair Vengeance RGB 32 GB,121.99,"2,16",3.812,White,13.333,40.0,5,6000
Corsair Vengeance LPX 16 GB,85.99,"2,8",5.374,Black / Yellow,10.0,15.0,4,3000
Silicon Power XPOWER Turbine 32 GB,60.99,"2,16",1.906,Blue,10.0,16.0,4,3200
TEAMGROUP T-Force Delta RGB 16 GB,77.99,"2,8",4.874,White,12.667,38.0,5,6000
Corsair Dominator Titanium 64 GB,319.99,"2,32",5.0,Black,10.0,30.0,5,6000
G.Skill Ripjaws S5 32 GB,109.99,"2,16",3.437,Black,10.0,32.0,5,6400
G.Skill Flare X5 96 GB,184.99,"2,48",1.927,Black,15.385,40.0,5,5200
Klevv BOLT V 32 GB,93.99,"2,16",2.937,Black,10.0,30.0,5,6000
G.Skill Ripjaws M5 Neo RGB 32 GB,94.99,"2,16",2.968,Black,12.0,36.0,5,6000
Corsair Vengeance RGB 32 GB,117.99,"2,16",3.687,Black / Gray,10.0,32.0,5,6400
Corsair Vengeance 32 GB,135.99,"2,16",4.25,Black,9.333,28.0,5,6000
TEAMGROUP Vulcan Z 16 GB,42.99,"2,8",2.687,Black,10.0,18.0,4,3600
Silicon Power GAMING 16 GB,37.97,"2,8",2.373,Gray / Silver,10.0,18.0,4,3600
TEAMGROUP T-Create Expert 96 GB,291.99,"2,48",3.042,Black / Gold,10.0,32.0,5,6400
Corsair Vengeance RGB Pro 32 GB,,"4,8",,Black,8.908,19.0,4,4266
G.Skill Ripjaws S5 32 GB,84.99,"2,16",2.656,Black,15.385,40.0,5,5200
Corsair Vengeance RGB 64 GB,184.99,"2,32",2.89,Black,13.333,40.0,5,6000
TEAMGROUP T-Create Expert 32 GB,110.99,"2,16",3.468,Black,9.444,34.0,5,7200
Corsair Vengeance 96 GB,329.99,"2,48",3.437,Black,10.0,32.0,5,6400
Patriot Signature Line 16 GB,34.99,"1,16",2.187,Black,16.667,40.0,5,4800
Corsair Vengeance RGB 64 GB,277.99,"2,32",4.344,White,10.0,32.0,5,6400
Crucial CT2K64G56C46U5 128 GB,279.99,"2,64",2.187,Black,16.429,46.0,5,5600
G.Skill Trident Z RGB 16 GB,54.99,"2,8",3.437,Black,10.0,16.0,4,3200
TEAMGROUP T-Force Delta RGB 32 GB,89.99,"2,16",2.812,Black,12.5,40.0,5,6400
Silicon Power XPOWER Zenith Gaming 64 GB,164.99,"2,32",2.578,White,10.0,30.0,5,6000
Kingston FURY Beast RGB 128 GB,349.99,"2,64",2.734,Black,12.857,36.0,5,5600
Supermicro MEM-DR412L-SL02-LR26 128 GB,,"1,128",,Green / Black,16.504,22.0,4,2666
Patriot Viper Venom 16 GB,48.99,"2,8",3.062,Black / Silver,12.0,36.0,5,6000
Corsair Vengeance RGB Pro 32 GB,128.99,"4,8",4.031,Black,10.0,16.0,4,3200
G.Skill Trident Z5 Neo RGB 48 GB,,"2,24",,Black,8.667,26.0,5,6000
G.Skill Ripjaws M5 RGB 32 GB,114.99,"2,16",3.593,White,10.0,30.0,5,6000
Kingston FURY Beast 16 GB,74.54,"1,16",4.659,Black,10.0,16.0,4,3200
G.Skill Flare X5 96 GB,329.99,"2,48",3.437,Black,10.0,30.0,5,6000
Kingston FURY Beast 32 GB,93.99,"2,16",2.937,Black / Silver,15.385,40.0,5,5200
Patriot Viper Venom 32 GB,83.99,"2,16",2.625,Black / White,12.857,36.0,5,5600
Silicon Power XPOWER Storm RGB 32 GB,94.97,"2,16",2.968,Black,10.0,32.0,5,6400
Corsair Vengeance LPX 16 GB,48.99,"2,8",3.062,Black / Yellow,8.889,16.0,4,3600
Corsair Dominator Platinum RGB 64 GB,377.99,"4,16",5.906,Black,9.697,32.0,5,6600
Silicon Power XPOWER Storm RGB 32 GB,85.99,"2,16",2.687,White,12.0,36.0,5,6000
TEAMGROUP Elite 16 GB,48.99,"2,8",3.062,Black,13.75,22.0,4,3200
Klevv BOLT X 32 GB,80.98,"2,16",2.531,Black,10.0,18.0,4,3600
Crucial Classic 64 GB,130.99,"2,32",2.047,Black,16.429,46.0,5,5600
Corsair Vengeance RGB 32 GB,94.99,"2,16",2.968,Black / Gray,12.0,36.0,5,6000
TEAMGROUP T-Create Expert 16 GB,45.99,"2,8",2.874,Gray,10.0,16.0,4,3200
Klevv BOLT X 16 GB,47.99,"2,8",2.999,Black,10.0,18.0,4,3600
TEAMGROUP T-Force Delta RGB 32 GB,,"2,16",,White,10.0,16.0,4,3200
Corsair Vengeance 32 GB,94.99,"2,16",2.968,Black,16.667,40.0,5,4800
G.Skill Aegis 16 GB,36.99,"2,8",2.312,Black / Red,10.667,16.0,4,3000
TEAMGROUP Elite 32 GB,75.98,"2,16",2.374,Black,16.429,46.0,5,5600
Corsair Vengeance 32 GB,89.99,"2,16",2.812,Black / Gray,14.286,40.0,5,5600
