name,price,socket,form_factor,max_memory,memory_slots,color
Asus TUF GAMING X870E-PLUS WIFI7,359.99,AM5,ATX,256,4,Black / Silver
Asus X870 MAX GAMING WIFI7,233.65,AM5,ATX,256,4,Black
Asus ROG STRIX X570-E GAMING WIFI II,495.31,AM4,ATX,128,4,Black
Gigabyte Z790M AORUS ELITE AX ICE,199.99,LGA1700,Micro ATX,192,4,White / Silver
Gigabyte Z890M AORUS ELITE WIFI7 ICE,189.95,LGA1851,Micro ATX,256,4,White / Silver
MSI B760 GAMING PLUS WIFI DDR4,243.73,LGA1700,ATX,128,4,Black / Silver
Gigabyte B760I AORUS PRO,199.99,LGA1700,Mini ITX,96,2,Silver / Black
Gigabyte X870 AORUS STEALTH ICE,309.99,AM5,ATX,256,4,White
Gigabyte B550 AORUS ELITE V2,190.78,AM4,ATX,128,4,Black
MSI B450 TOMAHAWK,,AM4,ATX,64,4,Black / Silver
Asus PRIME B450M-K II,111.64,AM4,Micro ATX,64,2,Black
Asus ROG STRIX Z690-E GAMING WIFI,361.52,LGA1700,ATX,192,4,Black
Asus PRIME B550-PLUS,169.78,AM4,ATX,128,4,Black / White
Asus TUF GAMING B450-PLUS II,192.85,AM4,ATX,128,4,Black
MSI PRO B760M-P,124.98,LGA1700,Micro ATX,192,4,Black
MSI B760M PROJECT ZERO,206.99,LGA1700,Micro ATX,256,4,Silver / Black
MSI PRO Z690-A DDR4,,LGA1700,ATX,128,4,Black / Silver
Asus ROG MAXIMUS Z890 HERO,619.99,LGA1851,ATX,192,4,Black
Gigabyte B850 EAGLE WIFI7 ICE,342.89,AM5,ATX,256,4,White
ASRock B450M Pro4,,AM4,Micro ATX,128,4,Black / Silver
ASRock B650M PG Lightning,192.99,AM5,Micro ATX,256,4,Silver / Black
Gigabyte B650E AORUS STEALTH ICE,422.04,AM5,ATX,192,4,White / Silver
MSI PRO H610M-G WIFI DDR4,119.99,LGA1700,Micro ATX,64,2,Black / Silver
Gigabyte B850M EAGLE WIFI6E ICE,164.99,AM5,Micro ATX,256,4,White
ASRock A520M-ITX/ac,150.01,AM4,Mini ITX,64,2,Black / Silver
ASRock B850 Pro RS,177.99,AM5,ATX,256,4,Silver / Black
Asus PRIME B650M-A II-CSM,159.99,AM5,Micro ATX,192,4,Silver / Black
MSI MPG X670E CARBON WIFI,479.99,AM5,ATX,192,4,Black
Gigabyte B560M DS3H AC,,LGA1200,Micro ATX,128,4,Black
ASRock Z790 Lightning WiFi,,LGA1700,ATX,256,4,Silver / Black
Asus PRIME A520M-A II/CSM,78.86,AM4,Micro ATX,128,4,Silver / Black
Asus X870 AYW GAMING WIFI W,219.99,AM5,ATX,256,4,White / Silver
ASRock H470M-HVS,59.99,LGA1200,Micro ATX,64,2,Black / Silver
ASRock A620M Pro RS,154.16,AM5,Micro ATX,256,4,Silver / Black
MSI MAG B860 TOMAHAWK WIFI,169.99,LGA1851,ATX,256,4,Black / Yellow
MSI MPG B650 EDGE WIFI,179.99,AM5,ATX,192,4,Black / Silver
Asus ROG STRIX B760-A GAMING WIFI,229.99,LGA1700,ATX,192,4,Silver / Black
Asus TUF GAMING B650M-PLUS,,AM5,Micro ATX,192,4,Black
ASRock B450M/AC,84.29,AM4,Micro ATX,64,4,Black
Asus ROG STRIX B850-G GAMING WIFI,259.99,AM5,Micro ATX,256,4,White
ASRock B650 Pro RS WiFi,160.98,AM5,ATX,256,4,Silver / Black
Gigabyte H610M H V3 DDR4,130.93,LGA1700,Micro ATX,64,2,Black / Silver
Asus ROG STRIX Z790-F GAMING WIFI II,579.99,LGA1700,ATX,192,4,Black
Asus PRIME B650M-K,188.27,AM5,Micro ATX,96,2,Silver / Black
MSI MAG B760M MORTAR WIFI II,199.98,LGA1700,Micro ATX,192,4,Silver / Black
Asus PRIME A620M-K,144.63,AM5,Micro ATX,96,2,Black / Silver
Gigabyte H410M H V2,108.61,LGA1200,Micro ATX,64,2,Gray / Black
MSI MEG X670E ACE,369.99,AM5,EATX,192,4,Black / Gold
Asus PRIME B550M-A AC,109.99,AM4,Micro ATX,128,4,Black / Silver
MSI B450 Gaming Plus MAX,162.0,AM4,ATX,128,4,Red / Black
Asus TUF GAMING B550-PLUS,207.05,AM4,ATX,128,4,Black
ASRock A520M-HVS,85.67,AM4,Micro ATX,64,2,Black / Silver
Asus PRIME B450M-A,127.78,AM4,Micro ATX,64,4,Black
NZXT N7 Z790,299.99,LGA1700,ATX,192,4,White / Black
MSI PRO Z790-P WIFI DDR4,205.0,LGA1700,ATX,128,4,Black / Silver
Gigabyte A520 AORUS ELITE,135.14,AM4,ATX,128,4,Black / Orange
Gigabyte A620M GAMING X,188.99,AM5,Micro ATX,192,4,Brown / Gray
Gigabyte Z790 AORUS PRO X WIFI7,299.99,LGA1700,ATX,192,4,Black
