item_name,category_name,item_price_in_php,stocks,total_capacity_gb,modules,ddr_gen,mhz,cl,voltage
"64gb (dual) ddr5 6000 Tforce Delta RGB white, CL38 1.25v, pn: FF4D564G6000HC38ADC01",Ram,13999.0,2,64,"2,32",5,6000,38,1.25
"64gb (dual) ddr5 6000 G.Skill Ripjaws M5 RGB black, CL32 1.4v, pn: F5-6000J3238G32GX2-RM5RK",Ram,14650.0,3,64,"2,32",5,6000,32,1.4
"64gb (dual) ddr5 6000 G.Skill Ripjaws M5 RGB white, CL32 1.4v, pn: F5-6000J3238G32GX2-RM5RW",Ram,14650.0,1,64,"2,32",5,6000,32,1.4
"64gb (dual) ddr5 6000 G.Skill Trident Z5 Neo RGB black, CL32 1.4v, pn: F5-6000J3238G32GX2-TZ5NR",Ram,15150.0,2,64,"2,32",5,6000,32,1.4
"64gb (dual) ddr5 6000 G.Skill Trident Z5 Neo RGB black, CL30 1.4v, pn: F5-6000J3040G32GX2-TZ5NR",Ram,15280.0,3,64,"2,32",5,6000,30,1.4
"64gb (dual) ddr5 6000 G.Skill Trident Z5 Neo RGB white, CL30 1.4v, pn: F5-6000J3036G32GX2-TZ5NRW",Ram,16280.0,1,64,"2,32",5,6000,30,1.4
"64gb (dual) ddr5 6000 G.Skill Trident Z5 RGB white, CL36 1.35v, pn: F5-6000J3636F32GX2-TZ5RW",Ram,14399.0,0,64,"2,32",5,6000,36,1.35
"64gb (dual) ddr5 6000 G.Skill Trident Z5 RGB black, CL32 1.4v, pn: F5-6000J3238G32GX2-TZ5RK",Ram,15399.0,2,64,"2,32",5,6000,32,1.4
"64gb (dual) ddr5 6000 G.Skill Trident Z5 RGB white, CL30 1.4v, pn: F5-6000J3040G32GX2-TZ5RW",Ram,15150.0,0,64,"2,32",5,6000,30,1.4
"64gb (dual) ddr5 6000 Corsair Dominator Platinum black, CL40 1.35v, pn: CMT64GX5M2B6000C40",Ram,15699.0,0,64,"2,32",5,6000,40,1.35
"64gb (dual) ddr5 6200 Patriot Elite 5 White, CL42 1.35v, pn: PVER564G62C42KW",Ram,13180.0,2,64,"2,32",5,6200,42,1.35
"64gb (dual) ddr5 6400 Patriot Venom, CL32 1.4v, pn: PVV564G640C32K",Ram,12999.0,3,64,"2,32",5,6400,32,1.4
"64gb (dual) ddr5 6400 G.Skill Ripjaws M5 RGB black, CL32 1.4v, pn: F5-6400J3239G32GX2-RM5RK",Ram,15150.0,4,64,"2,32",5,6400,32,1.4
"64gb (dual) ddr5 6400 G.Skill Ripjaws M5 RGB white, CL32 1.4v, pn: F5-6400J3239G32GX2-RM5RW",Ram,15150.0,4,64,"2,32",5,6400,32,1.4
"64gb (dual) ddr5 6400 G.Skill Trident Z5 RGB black, CL32 1.4v, pn: F5-6400J3239G32GX2-TZ5RK",Ram,15525.0,0,64,"2,32",5,6400,32,1.4
"64gb (dual) ddr5 6400 G.Skill Trident Z5 RGB white, CL32 1.4v, pn: F5-6400J3239G32GX2-TZ5RW",Ram,15525.0,1,64,"2,32",5,6400,32,1.4
"64gb (dual) ddr5 6400 G.Skill Trident Z5 Royal RGB silver, CL32 1.4v, pn: F5-6400J3239G32GX2-TR5S",Ram,17799.0,2,64,"2,32",5,6400,32,1.4
"64gb (dual) ddr5 6400 Corsair Dominator Platinum black, CL32 1.40v, pn: CMT64GX5M2B6400C32",Ram,18399.0,4,64,"2,32",5,6400,32,1.4
"64gb (dual) ddr5 6600 Corsair Dominator Platinum black, CL32 1.40v, pn: CMT64GX5M2B6600C32",Ram,18699.0,3,64,"2,32",5,6600,32,1.4
"96gb (dual) ddr5 6000 Patriot Elite 5 White, CL42 1.35v, pn: PVER596G60C42KW",Ram,19699.0,0,96,"2,48",5,6000,42,1.35
"8gb sodimm ddr4 2666 Kingston CL19 1.2v, pn: KVR26S19S6/8 | KVR26S19S8/8",Ram,1299.0,3,8,"1,8",4,2666,19,1.2
"8gb sodimm ddr4 3200 Kingston CL22 1.2v, pn: KVR32S22S6/8 | KVR32S22S8/8",Ram,1475.0,2,8,"1,8",4,3200,22,1.2
"8gb sodimm ddr4 3200 Team Elite CL22 1.2V, pn: TED48G3200C22-S01",Ram,1099.0,18,8,"1,8",4,3200,22,1.2
"16gb sodimm ddr4 2666 Kingston CL19 1.2v, pn: KVR26S19S8/16",Ram,2550.0,5,16,"1,16",4,2666,19,1.2
"16gb sodimm ddr4 3200 Kingston CL22 1.2v, pn: KVR32S22S8/16 | KVR32S22D8/16",Ram,2850.0,3,16,"1,16",4,3200,22,1.2
"16gb sodimm ddr4 3200 Patriot CL22 1.2V, pn: PSD416G320081S",Ram,2650.0,6,16,"1,16",4,3200,22,1.2
"8gb sodimm ddr5 4800 Adata CL40 1.1v, pn: AD5S48008G-S",Ram,1699.0,0,8,"1,8",5,4800,40,1.1
"8gb sodimm ddr5 4800 Kingston CL40 1.1v, pn: KVR48S40BS6-8",Ram,2050.0,2,8,"1,8",5,4800,40,1.1
"8gb sodimm ddr5 5600 Kingston CL46 1.1v, pn: KVR56S46BS6-8",Ram,2150.0,8,8,"1,8",5,5600,46,1.1
