,brand,clean_name,item_price_in_php,stocks,total_capacity_gb,num_modules,capacity_per_module_gb,ddr_gen,mhz,cl,voltage
288,Patriot,Patriot Xtreme 5 RGB,10999.0,2,32,2,16,5,7800,38.0,1.45
289,Patriot,Patriot Xtreme 5 RGB,12725.0,1,32,2,16,5,8000,38.0,1.45
290,G.Skill,G.Skill Trident Z5 RGB black,13599.0,0,32,2,16,5,8000,38.0,1.45
291,Patriot,Patriot Elite 5 White,10350.0,2,48,2,24,5,6000,42.0,1.35
292,Patriot,Patriot Elite 5 TUF White,9980.0,2,48,2,24,5,6000,36.0,1.35
293,Patriot,Patriot Elite 5 TUF White,11799.0,2,48,2,24,5,6600,34.0,1.4
294,Patriot,Patriot Xtreme 5 RGB,13999.0,1,48,2,24,5,7600,36.0,1.45
295,Patriot,Patriot Xtreme 5 RGB,15999.0,1,48,2,24,5,8000,38.0,1.45
296,G.Skill,G.Skill Trident Z5 Neo RGB black,18599.0,0,48,2,24,5,8000,40.0,1.4
297,Kingston,Kingston Fury Beast,12099.0,2,64,2,32,5,5600,40.0,1.25
